lon,lat,lab_km
115.6697,-44.1886,66.49
115.9195,-44.1886,65.68
116.1693,-44.1886,64.79
116.4192,-44.1886,63.90
116.6690,-44.1886,63.09
116.9188,-44.1886,62.43
117.1686,-44.1886,61.97
117.4185,-44.1886,61.69
117.6683,-44.1886,61.54
117.9181,-44.1886,61.48
118.1679,-44.1886,61.48
118.4178,-44.1886,61.51
118.6676,-44.1886,61.55
118.9174,-44.1886,61.59
119.1672,-44.1886,61.63
119.4171,-44.1886,61.66
119.6669,-44.1886,61.68
119.9167,-44.1886,61.69
120.1666,-44.1886,61.69
120.4164,-44.1886,61.70
120.6662,-44.1886,61.70
120.9160,-44.1886,61.71
121.1659,-44.1886,61.72
121.4157,-44.1886,61.73
121.6655,-44.1886,61.74
121.9153,-44.1886,61.74
122.1652,-44.1886,61.76
122.4150,-44.1886,61.77
122.6648,-44.1886,61.82
122.9146,-44.1886,61.90
123.1645,-44.1886,62.02
123.4143,-44.1886,62.17
123.6641,-44.1886,62.31
123.9139,-44.1886,62.39
124.1638,-44.1886,62.40
124.4136,-44.1886,62.33
124.6634,-44.1886,62.17
124.9133,-44.1886,61.93
125.1631,-44.1886,61.61
125.4129,-44.1886,61.24
125.6627,-44.1886,60.83
125.9126,-44.1886,60.41
126.1624,-44.1886,60.00
126.4122,-44.1886,59.67
126.6620,-44.1886,59.44
126.9119,-44.1886,59.37
127.1617,-44.1886,59.47
127.4115,-44.1886,59.74
127.6613,-44.1886,60.13
127.9112,-44.1886,60.62
128.1610,-44.1886,61.17
128.4108,-44.1886,61.76
128.6607,-44.1886,62.38
128.9105,-44.1886,63.02
129.1603,-44.1886,63.66
129.4101,-44.1886,64.30
129.6600,-44.1886,64.91
129.9098,-44.1886,65.49
130.1596,-44.1886,66.02
130.4094,-44.1886,66.49
130.6593,-44.1886,66.91
130.9091,-44.1886,67.26
131.1589,-44.1886,67.55
131.4087,-44.1886,67.79
131.6586,-44.1886,67.99
131.9084,-44.1886,68.17
132.1582,-44.1886,68.34
132.4080,-44.1886,68.52
132.6579,-44.1886,68.73
132.9077,-44.1886,68.98
133.1575,-44.1886,69.28
133.4074,-44.1886,69.60
133.6572,-44.1886,69.95
133.9070,-44.1886,70.30
134.1568,-44.1886,70.62
134.4067,-44.1886,70.91
134.6565,-44.1886,71.14
134.9063,-44.1886,71.30
135.1561,-44.1886,71.38
135.4060,-44.1886,71.42
135.6558,-44.1886,71.44
135.9056,-44.1886,71.48
136.1554,-44.1886,71.59
136.4053,-44.1886,71.82
136.6551,-44.1886,72.22
136.9049,-44.1886,72.84
137.1548,-44.1886,73.69
137.4046,-44.1886,74.75
137.6544,-44.1886,75.96
137.9042,-44.1886,77.24
138.1541,-44.1886,78.51
138.4039,-44.1886,79.69
138.6537,-44.1886,80.68
138.9035,-44.1886,81.38
139.1534,-44.1886,81.74
139.4032,-44.1886,81.79
139.6530,-44.1886,81.63
139.9028,-44.1886,81.35
140.1527,-44.1886,81.06
140.4025,-44.1886,80.88
140.6523,-44.1886,80.91
140.9022,-44.1886,81.25
141.1520,-44.1886,81.93
141.4018,-44.1886,82.86
141.6516,-44.1886,83.88
141.9015,-44.1886,84.79
142.1513,-44.1886,85.44
142.4011,-44.1886,85.64
142.6509,-44.1886,85.27
142.9008,-44.1886,84.24
143.1506,-44.1886,82.53
143.4004,-44.1886,80.23
143.6502,-44.1886,77.46
143.9001,-44.1886,74.43
144.1499,-44.1886,71.31
144.3997,-44.1886,68.31
144.6495,-44.1886,65.59
144.8994,-44.1886,63.30
145.1492,-44.1886,61.52
145.3990,-44.1886,60.36
145.6489,-44.1886,59.85
145.8987,-44.1886,60.04
146.1485,-44.1886,60.93
146.3983,-44.1886,62.51
146.6482,-44.1886,64.77
146.8980,-44.1886,67.68
147.1478,-44.1886,71.23
147.3976,-44.1886,75.39
147.6475,-44.1886,80.09
147.8973,-44.1886,85.27
148.1471,-44.1886,90.75
148.3969,-44.1886,96.29
148.6468,-44.1886,101.50
148.8966,-44.1886,105.89
149.1464,-44.1886,109.11
149.3963,-44.1886,111.34
149.6461,-44.1886,112.88
149.8959,-44.1886,113.93
150.1457,-44.1886,114.61
150.3956,-44.1886,114.95
150.6454,-44.1886,114.94
150.8952,-44.1886,114.59
151.1450,-44.1886,113.94
151.3949,-44.1886,112.97
151.6447,-44.1886,111.72
151.8945,-44.1886,110.25
152.1443,-44.1886,108.65
152.3942,-44.1886,107.05
152.6440,-44.1886,105.57
